World Port Index Number,Region Name,Main Port Name,Latitude,Longitude
10210, ,Banes,20.91666667,-75.71666667
10070, ,Bahia Honda,22.96666667,-83.16666667
10140, ,Caibarien,22.53333333,-79.46666667
10290, ,Baracoa,20.35,-74.5
10240, ,Preston,20.76666667,-75.65
10480, ,Santa Cruz del Sur,20.7,-77.98333333
47946,Sudan -- 47910,Sawakin Harbor,19.133333,37.35
10505, ,Palo Alto,21.58333333,-78.96666667
47900,Eritrea -- 47870,Mitsiwa Harbor,15.616667,39.466667
47880,Eritrea -- 47870,Assab,13,42.75
16260,United States W Coast -- 16000,Moss,36.8,-121.783333
29435,Sjaelland -- 29150,Kyndbyvaerkets,55.816667,11.883333
29390,Sjaelland -- 29150,Hundested Havn,55.966667,11.85
47980,Egypt Red Sea -- 47950,Safaja,26.733333,33.95
48090,Jordan -- 48080,Al Aqabah,29.516667,35
48045,Egypt Red Sea -- 47950,El-Adabiya,29.866667,32.466667
48055,Egypt Red Sea -- 47950,Ain Sukhna Terminal,29.583333,32.366667
47940,Sudan -- 47910,Port Sudan,19.6,37.233333
18820,Canada West Coast -- 18080,Port Alice,50.383333,-127.45
54810,Tasmania -- 54700,Port Huon,-43.166667,146.983333
53300,Australia -- 53290,Thursday Island,-10.583333,142.216667
54870,Tasmania -- 54700,Stanley,-40.766667,145.283333
27080,Sweden Cont -- 24975,Skelleftehamn,64.683333,21.233333
26710,Sweden Cont -- 24975,Kopmanholmen,63.166667,18.583333
25440,Sweden Cont -- 24975,Grisslehamn,60.1,18.816667
25480,Sweden Cont -- 24975,Hargshamn,60.183333,18.45
25760,Sweden Cont -- 24975,Iggesund,61.65,17.083333
25460,Sweden Cont -- 24975,Hallstavik,60.05,18.583333
25780,Sweden Cont -- 24975,Hudiksvall,61.733333,17.116667
25720,Sweden Cont -- 24975,Soderhamn,61.3,17.083333
18450,Canada West Coast -- 18080,Campbell River,50.03244444,-125.2356667
15270,Ecuador -- 15240,Guayaquil,-2.2,-79.883333
27670,Finland -- 27380,Kaskinen,62.383333,21.233333
15290,Ecuador -- 15240,La Libertad,-2.216667,-80.916667
15190,Peru -- 14830,Talara,-4.583333,-81.283333
54880,Tasmania -- 54700,Burnie,-41.05,145.95
53460,Australia -- 53290,Bundaberg,-24.866667,152.35
53340,Australia -- 53290,Cairns,-16.916667,145.783333
18792,Canada West Coast -- 18080,Gold River,49.683333,-126.116667
53370,Australia -- 53290,Lucinda,-18.516667,146.333333
54830,Tasmania -- 54700,Dover,-43.316667,147.033333
18840,Canada West Coast -- 18080,Port Hardy,50.716667,-127.483333
18805,Canada West Coast -- 18080,Tahsis,49.916667,-126.666667
54875,Tasmania -- 54700,Port Latta,-40.833333,145.383333
53380,Australia -- 53290,Townsville,-19.266667,146.816667
28400,Russia -- 28250,Kronshtadt,59.983333,29.783333
25610,Sweden Cont -- 24975,Norrsundet,60.933333,17.166667
25570,Sweden Cont -- 24975,Karskar,60.683333,17.266667
26730,Sweden Cont -- 24975,Ornskoldsvik,63.283333,18.716667
27650,Finland -- 27380,Vaasa,63.1,21.583333
27790,Finland -- 27380,Uusikaupunki,60.8,21.4
28300,Russia -- 28250,Vyborg,60.716667,28.75
25910,Sweden Cont -- 24975,Sundsvall,62.383333,17.35
28360,Russia -- 28250,Primorsk,60.366667,28.633333
27190,Sweden Cont -- 24975,Pitea,65.316667,21.483333
53520,Australia -- 53290,Ballina,-28.866667,153.566667
26240,Sweden Cont -- 24975,Harnosand,62.633333,17.933333
25550,Sweden Cont -- 24975,Skutskar,60.65,17.4
25640,Sweden Cont -- 24975,Vallvik,61.183333,17.166667
25590,Sweden Cont -- 24975,Gavle,60.683333,17.166667
27400,Finland -- 27380,Tornio,65.766667,24.166667
26890,Sweden Cont -- 24975,Umea Hamn,63.7,20.35
54920,Tasmania -- 54700,Devonport,-41.183333,146.366667
48106,Saudi Arabia -- 48100,Duba,27.566667,35.533333
48121,Saudi Arabia -- 48100,King Fahd Port,23.95,38.216667
48140,Saudi Arabia -- 48100,Jiddah,21.483333,39.183333
48142,Saudi Arabia -- 48100,Jizan,16.9,42.483333
53360,Australia -- 53290,Mourilyan Harbour,-17.6,146.133333
53318,Australia -- 53290,Cape Flattery Harbor,-14.95,145.35
18872,Canada West Coast -- 18080,Port Mcneill,50.583333,-127.083333
61910,Japan -- 61100,Akita-Funakawa Ko,39.78138889,140.015
15140,Peru -- 14830,Puerto Bayovar,-5.833333,-81.05
15170,Peru -- 14830,Paita,-5.083333,-81.116667
15250,Ecuador -- 15240,Puerto Bolivar,-3.266667,-80
28410,Russia -- 28250,Ust Luga,59.666667,28.316667
27280,Sweden Cont -- 24975,Karlsborg,65.8,23.283333
27220,Sweden Cont -- 24975,Lulea,65.583333,22.166667
26800,Sweden Cont -- 24975,Rundvik,63.533333,19.45
28390,Russia -- 28250,Lomonosov,59.916667,29.766667
